ROI	structure	N57437	N57442	N57446	N57447	N57449	N57451	N57496	N57498	N57500	N57502	N57504	N57513	N57515	N57518	N57520	N57522	N57546	N57548	N57550	N57552	N57554	N57559	N57580	N57582	N57584	N57587	N57590	N57692	N57694	N57700	N57702	N57709	N58302	N58303	N58305	N58309	N58310	N58344	N58346	N58350	N58355	N58359	N58361	N58394	N58396	N58398	N58400	N58402	N58404	N58406	N58408	N58477	N58500	N58510	N58512	N58514	N58516	N58604	N58606	N58608	N58611	N58613	N58706	N58708	N58712	N58214	N58215	N58216	N58217	N58218	N58219	N58221	N58222	N58223	N58224	N58225	N58226	N58228	N58229	N58230	N58231	N58232	N58633	N58634	N58635	N58636	N58649	N58650	N58651	N58653	N58654	N58714	N58740	N58734	N58792	N58784	N58790	N58779	N58749	N58788	N58794	N58733	N58655	N58735	N58780	N58747	N58751	N58745	N58742	N58732	N58935	N59003	N58819	N58909	N58919	N58889	N59010	N58859	N58917	N58815	N58997	N58999	N58881	N58853	N58995	N58877	N58883	N58885	N58906	N58821	N58855	N58861	N58857	N58851	N58887	N58879	N58829	N58913	N58831	N58941	N58813	N58952	N59022	N59026	N59033	N59035	N59039	N59041	N59065	N59066	N59072	N59076	N59078	N59080	N59097	N59099	N59109	N59116	N59118	N59120	N58612	N59136	N59140	N58946	N59141	N58915	N59005	N58954	N58948	N58610	N60103	N60062	N60101	N60056	N60088	N60064	N60070	N60093	N60097	N60095	N60068	N60072	N60058	N60092	N60060	N60188	N60190	N60192	N60194	N60198	N60219	N60221	N60223	N60225	N60229	N60231	N60167	N60133	N60200	N60131	N60139	N60163	N60159	N60157	N60127	N60161	N60169	N60137	N60129
0	Exterior	0.264834	0.2355717	0.267754	0.2876377	0.2657211	0.2878051	0.2901959	0.2658821	0.2752609	0.2702117	0.2655298	0.2656177	0.2920919	0.2718775	0.2874883	0.2676864	0.2813257	0.2778291	0.2451435	0.2591805	0.2847267	0.2531163	0.2360954	0.2959278	0.289398	0.2596358	0.2239602	0.2290373	0.2868214	0.2322178	0.2900506	0.2669913	0.340926	0.3350927	0.3445672	0.3657954	0.3641777	0.3529674	0.3335187	0.3602256	0.3645853	0.3684712	0.3652218	0.3839799	0.3639833	0.3906028	0.3831916	0.3671854	0.369788	0.35485	0.338732	0.3746457	0.3489338	0.3453086	0.2907866	0.3405275	0.3661921	0.3483797	0.3707076	0.3440002	0.3284535	0.3403602	0.3670686	0.3568776	0.3372121	0.2454004	0.2799622	0.2095431	0.2694913	0.2127129	0.2892345	0.2639621	0.296172	0.2474833	0.2570036	0.2765155	0.2643113	0.2436342	0.2447931	0.1921358	0.2386334	0.2635893	0.2460656	0.2354165	0.2360677	0.2229579	0.2125286	0.2232292	0.2194785	0.2303759	0.2244341	0.3180702	0.3400488	0.3332809	0.3548448	0.3511269	0.3792607	0.3602524	0.3356516	0.3851829	0.3249759	0.322096	0.2678757	0.361878	0.3605675	0.3252778	0.3281093	0.3419178	0.3451322	0.2842846	0.2725457	0.3265523	0.2896464	0.3302851	0.3681397	0.2962725	0.3142251	0.2781529	0.3334803	0.2948208	0.2888046	0.3148194	0.3256491	0.3187476	0.3341196	0.2972663	0.3164866	0.3196718	0.3680626	0.3328655	0.2897997	0.2889795	0.3000669	0.2556951	0.3494346	0.3020147	0.2727466	0.3480463	0.2687739	0.2923659	0.3137446	0.3175293	0.3241282	0.3177564	0.3350981	0.3358856	0.3141392	0.3284691	0.3492735	0.3056141	0.3161263	0.3203721	0.316112	0.2962727	0.299123	0.318877	0.3036209	0.3353291	0.3335621	0.3212773	0.3288345	0.3271159	0.316705	0.27878	0.3317615	0.3408702	0.341499	0.2980503	0.3160646	0.3462019	0.2591976	0.2931306	0.2898588	0.3091844	0.3016432	0.2887413	0.2848325	0.2967802	0.2540867	0.2811609	0.2796446	0.253278	0.2458533	0.2813883	0.2808172	0.2628816	0.2606368	0.2386981	0.2478846	0.2844673	0.2650976	0.2833116	0.2833404	0.2773781	0.2548848	0.2443196	0.3162589	0.3925099	0.3426374	0.4147805	0.3793118	0.2934038	0.3373963	0.29072	0.3672882	0.3162497	0.3544228	0.3821789	0.4227863
1	Cingulate_Cortex,_Area_24a	0.2231732	0.179416	0.209506	0.2238686	0.2053532	0.2228262	0.2119641	0.1997224	0.2058745	0.2030007	0.2019422	0.2018753	0.2286433	0.2196799	0.2268321	0.2143921	0.2085676	0.2185588	0.1918147	0.2103003	0.2066099	0.1952442	0.1691681	0.2052314	0.2021519	0.1988031	0.1643343	0.183004	0.2065002	0.1820113	0.2046675	0.2027155	0.2742324	0.2739983	0.2744171	0.3005592	0.2932555	0.2827966	0.2822785	0.2944578	0.2876569	0.3057609	0.2917838	0.3054731	0.3004584	0.3108079	0.2969848	0.3055612	0.2850801	0.3028679	0.2719814	0.2568839	0.2489941	0.2335483	0.2303764	0.2501724	0.2513507	0.2549972	0.2581694	0.2576745	0.2358102	0.2292881	0.2723087	0.2750579	0.2624093	0.2446586	0.3118851	0.2350511	0.2816271	0.2586272	0.2915045	0.2916596	0.2655752	0.2821495	0.2940737	0.3194008	0.3117764	0.2786132	0.2573841	0.2078446	0.2731572	0.2735218	0.2317814	0.2385364	0.2354636	0.2270523	0.2218526	0.2321169	0.2213694	0.250533	0.22459	0.246527	0.2672019	0.2718601	0.2803255	0.2926546	0.2894866	0.2809604	0.2700225	0.2758673	0.2655548	0.2800386	0.2415826	0.2624521	0.2797216	0.2742498	0.2756846	0.279354	0.2745098	0.2383462	0.2483319	0.2507079	0.3174725	0.2791467	0.2830341	0.2279889	0.2488816	0.2709343	0.2812907	0.2699175	0.2321905	0.2287531	0.2474951	0.2624507	0.2364999	0.2385401	0.2456513	0.2680181	0.2785953	0.2596956	0.2664327	0.2491357	0.2509446	0.2453119	0.2630302	0.2665599	0.2648864	0.2831816	0.252291	0.2399193	0.2624871	0.2609009	0.2613751	0.2716889	0.2572562	0.2781844	0.2781338	0.2646696	0.2632672	0.2518717	0.2517301	0.2456337	0.2336078	0.2885257	0.2458477	0.2551971	0.2473752	0.2428941	0.2327584	0.2590692	0.2448025	0.2575076	0.2327257	0.2375704	0.2728585	0.2776433	0.2497271	0.2381939	0.2565375	0.2233495	0.196369	0.180895	0.201213	0.2290798	0.2132432	0.1869345	0.2171114	0.203239	0.1954356	0.2100835	0.1931323	0.2039827	0.1963943	0.202438	0.1953706	0.1629359	0.1751267	0.1742757	0.1823846	0.1849361	0.1750657	0.186123	0.1794567	0.1795447	0.1773042	0.1634022	0.2531184	0.2725166	0.2373386	0.2779753	0.2619959	0.2189026	0.2500723	0.2413083	0.2820745	0.2287219	0.2718781	0.2527712	0.2897076
2	Cingulate_Cortex,_Area_24a_prime	0.2245616	0.1957248	0.2136144	0.2316324	0.2134456	0.2224253	0.2129302	0.2070535	0.2116393	0.2104914	0.2102216	0.2101833	0.2332154	0.2245018	0.2303345	0.2138712	0.2102708	0.2181268	0.1998402	0.2157499	0.2126698	0.2000781	0.1861561	0.2165452	0.1990652	0.2095141	0.1691268	0.1889992	0.2092136	0.1892299	0.2073156	0.2017018	0.2752802	0.2740804	0.2798335	0.2935889	0.2958957	0.2805863	0.2811235	0.2954054	0.293326	0.2929123	0.2936323	0.300427	0.2976522	0.3069583	0.2933742	0.3045541	0.288482	0.2963592	0.2815298	0.2516575	0.2553365	0.2451019	0.2397401	0.2577388	0.2568264	0.2612412	0.2662064	0.2598609	0.2400485	0.2306289	0.2744878	0.270699	0.2638035	0.2453873	0.3046982	0.2426302	0.2837989	0.2523353	0.2919107	0.2942904	0.272181	0.285108	0.2940946	0.3241161	0.309944	0.2830974	0.2702246	0.2189374	0.2802684	0.2774286	0.2369805	0.2574624	0.2432396	0.2328099	0.2275942	0.2339046	0.2217456	0.2461962	0.232673	0.2543307	0.2737984	0.2721897	0.2864445	0.288124	0.2863066	0.2822347	0.2727116	0.28377	0.2777815	0.2722867	0.2510194	0.2677717	0.2812091	0.2734993	0.2771781	0.2677509	0.2762662	0.2525341	0.2506555	0.2531465	0.2729731	0.2718895	0.2860121	0.2342264	0.2578346	0.2696052	0.2814951	0.250607	0.2305838	0.2342636	0.247555	0.2754613	0.2655249	0.2472482	0.2463311	0.2676428	0.2781245	0.2675056	0.2696505	0.2548117	0.2580458	0.2578793	0.2592214	0.2610503	0.2651703	0.2824026	0.2464454	0.2416531	0.2638524	0.2553674	0.2653392	0.271521	0.2651286	0.2730137	0.2837972	0.2671447	0.2674462	0.2571028	0.2624105	0.2599176	0.2426997	0.2726502	0.2490976	0.2654238	0.2548964	0.2471148	0.2418863	0.2619751	0.2433939	0.258952	0.2416228	0.2381235	0.2637801	0.2759765	0.252489	0.2425198	0.2556739	0.2279806	0.201566	0.1783505	0.2080664	0.2315594	0.2161235	0.1895618	0.2198932	0.2040845	0.1952479	0.2080426	0.1990834	0.1966787	0.2014185	0.2069745	0.199532	0.1637483	0.1872643	0.1758658	0.1929122	0.1888752	0.1903475	0.1898225	0.1866128	0.1848617	0.1819058	0.1706218	0.2478557	0.277708	0.2442343	0.2739714	0.2622844	0.2174476	0.2614481	0.2385527	0.2854956	0.2257447	0.264248	0.2519283	0.2845808
3	Cingulate_Cortex,_Area_24b	0.2465661	0.2144833	0.2365903	0.2520642	0.2363717	0.244822	0.2389989	0.2326162	0.2363105	0.2286912	0.2298344	0.2297884	0.2550983	0.2437493	0.2551516	0.2363223	0.2377895	0.2404429	0.2195206	0.2377505	0.2374929	0.2274948	0.2041157	0.2358265	0.2275603	0.2302283	0.1931468	0.2086257	0.2313735	0.2099499	0.2304001	0.2255665	0.2996539	0.3036974	0.3069752	0.3235688	0.3223237	0.3100133	0.3143938	0.3260014	0.3157313	0.3232309	0.3178634	0.3279539	0.3277261	0.3309661	0.324996	0.3343917	0.3174361	0.3283448	0.3061711	0.2765044	0.2729988	0.2690716	0.2614931	0.2791082	0.2705968	0.2773901	0.281996	0.2809633	0.2644662	0.2451276	0.2990336	0.2993901	0.2908119	0.2774604	0.3189384	0.2732937	0.3065681	0.2728103	0.3023325	0.306021	0.3051979	0.2928555	0.2953022	0.330994	0.3173892	0.3134178	0.2899162	0.2352975	0.2916475	0.2922909	0.2715514	0.2781323	0.2781858	0.2766569	0.2567844	0.2587325	0.2504994	0.2745136	0.2549841	0.2706028	0.3039666	0.2928377	0.3053968	0.3084962	0.308227	0.3033268	0.2959066	0.3062664	0.3005247	0.3018277	0.2719911	0.2950694	0.2992129	0.2984442	0.2958769	0.3002886	0.2985666	0.2750375	0.2721455	0.281354	0.2474077	0.2977147	0.3078541	0.2605714	0.2785729	0.2937923	0.3070549	0.238721	0.2550256	0.2583031	0.2700526	0.2934084	0.2878863	0.2661432	0.2701122	0.2881301	0.2986695	0.2907719	0.2948053	0.2791982	0.2818357	0.2748359	0.2838515	0.2858029	0.2901566	0.3043412	0.248607	0.2732123	0.2949117	0.2815233	0.2892916	0.2925174	0.2903393	0.3006737	0.3102532	0.2890935	0.2905205	0.284195	0.2896651	0.2805648	0.2634312	0.2886363	0.2792797	0.2869608	0.2823993	0.2726436	0.2667923	0.2889441	0.2666283	0.2857855	0.2685328	0.2678653	0.293475	0.3013679	0.278562	0.2696022	0.2813371	0.2548128	0.2267212	0.2066882	0.2276516	0.2613288	0.2322302	0.2066235	0.2395638	0.2274743	0.2220735	0.232441	0.2191518	0.2243791	0.2249919	0.2319505	0.2151034	0.1866848	0.2088251	0.2033024	0.214984	0.2088187	0.2031882	0.2131389	0.2123953	0.2122629	0.2086624	0.1969158	0.273902	0.2922571	0.2717482	0.2972564	0.2887174	0.2449896	0.281297	0.2667975	0.3052038	0.2494942	0.288159	0.2669913	0.3038412
4	Cingulate_Cortex,_Area_24b_prime	0.2355976	0.2113573	0.2312071	0.2474814	0.2305219	0.2358341	0.2320689	0.2287869	0.2291221	0.2263865	0.2217041	0.2217987	0.2490197	0.2355517	0.2480533	0.2285264	0.228981	0.2358792	0.2157132	0.2264882	0.2249382	0.2187357	0.1986421	0.2297711	0.2138903	0.2238474	0.1907701	0.2049864	0.2209388	0.2033299	0.2231271	0.2202168	0.2940077	0.2915712	0.2936144	0.3080353	0.3167671	0.2981144	0.3037698	0.3163647	0.3068071	0.3047055	0.3108465	0.3192397	0.3155757	0.3224603	0.312239	0.319236	0.3072942	0.3131127	0.2948586	0.268419	0.2654988	0.2604413	0.2513242	0.2668194	0.2688044	0.2746848	0.2759889	0.271058	0.2577896	0.2387212	0.2867876	0.2862352	0.278684	0.262081	0.3153938	0.258051	0.3001545	0.2616206	0.3021918	0.3096203	0.2999675	0.2944051	0.2993475	0.3242191	0.3117366	0.3021746	0.2877809	0.2381863	0.2895322	0.2900395	0.2620748	0.2756538	0.2647602	0.2648092	0.247636	0.2513767	0.2379663	0.2591002	0.253174	0.2655277	0.2844825	0.2869118	0.293706	0.2982614	0.2962037	0.2963954	0.2866093	0.2972839	0.2924751	0.2855186	0.2632822	0.2817848	0.2967352	0.2859566	0.2809756	0.2784208	0.2854356	0.2692464	0.2658808	0.265008	0.3010854	0.2824155	0.3001563	0.2526008	0.2661372	0.2731629	0.2854118	0.2838464	0.2476123	0.2468035	0.2598754	0.2911583	0.2766824	0.2545869	0.2596596	0.283114	0.287143	0.2820777	0.2804377	0.2725933	0.2638091	0.2721052	0.2694582	0.2694407	0.270025	0.2926289	0.246254	0.2607362	0.2785845	0.2597472	0.2779263	0.2822652	0.280614	0.2852093	0.3031183	0.2771326	0.2729624	0.2748847	0.2850021	0.2718732	0.2564892	0.2750852	0.2644301	0.2743955	0.2683873	0.2623268	0.2563524	0.2747231	0.25824	0.2718273	0.2614219	0.2579481	0.2702822	0.2876076	0.267929	0.2505951	0.2689241	0.2491437	0.2180061	0.1926491	0.2216415	0.2520733	0.220575	0.2060184	0.2290608	0.2221155	0.2174636	0.2142961	0.2148656	0.2178724	0.2145405	0.2215056	0.2148947	0.178576	0.2028364	0.1906515	0.2099826	0.1996886	0.1992378	0.2020964	0.2040998	0.1991679	0.1940837	0.1856136	0.2657345	0.2832376	0.2670053	0.29161	0.2808642	0.2289048	0.2772782	0.2499376	0.2998031	0.2406722	0.2803866	0.2590058	0.3011433
5	Cingulate_Cortex,_Area_29a	0.2351451	0.2005348	0.2183572	0.2322058	0.2206178	0.2297807	0.2229786	0.2148677	0.2165882	0.2227072	0.2124809	0.2123837	0.2329182	0.2283109	0.2389895	0.2237702	0.2156327	0.2232246	0.2054692	0.2193025	0.2178887	0.2037218	0.1901773	0.2179636	0.2077687	0.215823	0.1857845	0.1905771	0.2081048	0.1902769	0.2083348	0.2137961	0.2754131	0.2695405	0.277718	0.2923743	0.2956329	0.2872491	0.2845181	0.3038774	0.3064403	0.2958855	0.2941424	0.2987559	0.3026175	0.3042076	0.3008795	0.2942166	0.2956153	0.2944201	0.2853404	0.2673954	0.2610076	0.2510686	0.2374332	0.253163	0.2610461	0.2597331	0.261688	0.2571158	0.2383323	0.2350905	0.2760581	0.2611758	0.2723656	0.2638856	0.303027	0.2564714	0.2924219	0.2597235	0.2989233	0.3112516	0.3030685	0.2788974	0.285416	0.2799044	0.3131577	0.2916307	0.2827373	0.2332155	0.263975	0.2821657	0.2788666	0.2816755	0.2752424	0.2730303	0.2512645	0.251892	0.2489573	0.2678853	0.2559996	0.2508186	0.2746922	0.2739068	0.2828451	0.2910362	0.2904412	0.2915686	0.2755722	0.2920687	0.2658518	0.2739222	0.2528176	0.2699124	0.2836302	0.2742307	0.2736055	0.2641329	0.2687614	0.2370175	0.2437717	0.2505017	0.3075823	0.2661556	0.288761	0.2253432	0.2588481	0.2738991	0.2633906	0.2984288	0.2247092	0.2323494	0.2498788	0.2630801	0.2549806	0.2441566	0.2480885	0.2621068	0.2753694	0.2632773	0.2713836	0.2477859	0.2449442	0.2474905	0.2559065	0.2619165	0.2577144	0.2809933	0.2860163	0.2502275	0.2586047	0.2468717	0.268653	0.2608664	0.2628117	0.2811128	0.2695894	0.2626497	0.2567425	0.2446841	0.2586537	0.2630148	0.2474587	0.2648174	0.2548569	0.2559601	0.2437412	0.2452573	0.2416421	0.2534986	0.2437696	0.2615328	0.2427488	0.2439659	0.2579885	0.2690488	0.2536016	0.2425968	0.2527792	0.2333751	0.2022957	0.1816693	0.1998944	0.2407526	0.2078333	0.1726201	0.2201755	0.2135504	0.1958923	0.2052814	0.2038357	0.2025219	0.2068304	0.2116019	0.2073808	0.1781421	0.1861996	0.1841792	0.196339	0.1904382	0.1924897	0.1912305	0.1927548	0.1796794	0.184654	0.1692678	0.2407338	0.2611811	0.241348	0.2664382	0.2571945	0.2091101	0.2497515	0.2234095	0.2719445	0.2293357	0.2618627	0.246538	0.2741864
6	Cingulate_Cortex,_Area_29b	0.2486843	0.2178886	0.2437963	0.2504471	0.239638	0.2541135	0.2442916	0.2290548	0.2358555	0.2444426	0.2350864	0.2349286	0.2519401	0.2419411	0.2583694	0.2373992	0.238726	0.243211	0.2203277	0.2377619	0.2307845	0.2159358	0.2099672	0.2388991	0.2244642	0.2305153	0.2034807	0.2026766	0.2236913	0.2079823	0.2314412	0.2318666	0.3008185	0.3017263	0.298104	0.310406	0.3194754	0.314003	0.3057503	0.327877	0.3179372	0.3089714	0.315129	0.3242126	0.3138216	0.3262638	0.3155667	0.3285378	0.3138537	0.3076607	0.2999085	0.2857697	0.2815422	0.2667046	0.2559682	0.2737972	0.2709843	0.2693241	0.2755092	0.2684698	0.2569957	0.2438592	0.2929822	0.2912377	0.2905389	0.2656344	0.3256754	0.257407	0.2996897	0.2623929	0.3264265	0.3179714	0.3266305	0.3009763	0.2969515	0.3058054	0.3260008	0.3121259	0.2891956	0.2351049	0.2827733	0.2974398	0.3105919	0.2959002	0.2877577	0.2623078	0.2578208	0.2661183	0.2514347	0.2680546	0.2794423	0.2753539	0.2907737	0.2948599	0.303751	0.3069817	0.2985132	0.2961709	0.2925768	0.3068891	0.2943614	0.2970604	0.2668693	0.2848568	0.2949066	0.2908426	0.2882541	0.2859476	0.29728	0.2670083	0.2664226	0.2694742	0.3129409	0.2917627	0.3040593	0.2561946	0.281742	0.2892657	0.2925257	0.3180994	0.249391	0.2604643	0.2773205	0.2934985	0.2742701	0.2628438	0.2703195	0.2829386	0.2934124	0.285885	0.2903405	0.2706816	0.2666318	0.2744266	0.273908	0.2841743	0.2746699	0.3011794	0.3033985	0.2737079	0.2854033	0.2705419	0.2926064	0.2785362	0.2904659	0.2965987	0.2987463	0.2847089	0.2807256	0.2739439	0.2788985	0.2794454	0.2648853	0.2932368	0.2768748	0.2801894	0.2712914	0.2629774	0.2649153	0.2772226	0.2631064	0.2804835	0.2665991	0.2643188	0.2803428	0.29412	0.2776585	0.260683	0.2746117	0.2518934	0.2231602	0.193032	0.2159044	0.2560679	0.2274531	0.1848229	0.2357807	0.2395364	0.2161808	0.2141697	0.215394	0.2215816	0.2204174	0.2281607	0.2174823	0.1874492	0.2010776	0.2004891	0.207026	0.2032975	0.2064116	0.2114531	0.2108357	0.2037361	0.1973317	0.1845519	0.2626619	0.282505	0.2616199	0.290535	0.2720317	0.2277244	0.2747598	0.2471387	0.2955499	0.2463455	0.2825482	0.2642955	0.2905053
7	Cingulate_Cortex,_Area_29c	0.2211736	0.1930161	0.2075682	0.2225898	0.2071768	0.2195137	0.2091556	0.2067142	0.2088015	0.2052238	0.2003728	0.2003838	0.2276644	0.2197021	0.2253078	0.2100857	0.2035182	0.2093938	0.192709	0.2072196	0.2025746	0.1942006	0.1827	0.2142317	0.1958128	0.2051422	0.1689393	0.1850865	0.1966526	0.1836529	0.1982435	0.2035519	0.2667018	0.2685539	0.2694199	0.2844356	0.2941915	0.2779547	0.2711205	0.2955315	0.2933809	0.2830229	0.2812381	0.2975984	0.2927923	0.2986062	0.29038	0.2995116	0.2858965	0.2878387	0.2806963	0.2468578	0.2515284	0.2425101	0.2333418	0.2525516	0.2554289	0.2525354	0.2573849	0.2525055	0.2366548	0.2303993	0.264078	0.2608657	0.2613047	0.2500921	0.2967372	0.2502121	0.2782279	0.2534073	0.2776535	0.2912581	0.2807857	0.2752084	0.2773519	0.2916435	0.2940253	0.2857483	0.2688594	0.2192207	0.268179	0.2704354	0.2479862	0.2553787	0.2418748	0.2446346	0.2272311	0.2355343	0.2222076	0.2426965	0.2368399	0.2455442	0.2706093	0.2661511	0.2770714	0.2815309	0.2783577	0.2819813	0.2720257	0.2830136	0.2714266	0.2695471	0.245377	0.2542721	0.2767288	0.2665141	0.2697431	0.2596533	0.2639146	0.2416796	0.2472139	0.2452991	0.3073167	0.2671967	0.2833357	0.2261098	0.2573759	0.2622536	0.2705428	0.3046508	0.22662	0.2251584	0.244971	0.2698312	0.2562214	0.2399953	0.2420618	0.2652532	0.2695839	0.2607711	0.2626412	0.2522012	0.2449363	0.2551	0.2535148	0.2497931	0.2545475	0.2776462	0.2922891	0.2384327	0.2556764	0.2423177	0.2628896	0.2598047	0.262991	0.2723963	0.2751283	0.2558508	0.2551506	0.2518563	0.2589486	0.2522181	0.2350733	0.2602401	0.2461473	0.2523574	0.2462578	0.2384741	0.2357824	0.250984	0.2373258	0.2511535	0.2365181	0.2350436	0.2501855	0.2665448	0.2507441	0.235042	0.2450124	0.2249734	0.1960357	0.1735472	0.190848	0.2293559	0.2068586	0.1738279	0.2077492	0.201813	0.1883742	0.1956061	0.1964897	0.1935674	0.1936859	0.2017701	0.1991536	0.1584515	0.1793894	0.1729395	0.1871492	0.1812053	0.1836625	0.183337	0.183558	0.1799567	0.1728861	0.1678762	0.2392777	0.2718847	0.2358896	0.2616418	0.2496441	0.2003608	0.2488171	0.2249479	0.2649675	0.2188129	0.2610834	0.2405362	0.2659787
8	Cingulate_Cortex,_Area_30	0.2396178	0.219759	0.2398701	0.2488241	0.2347241	0.246941	0.2436615	0.2303632	0.2358155	0.2362419	0.2272683	0.2272501	0.2532604	0.2397898	0.2530163	0.2330824	0.2329489	0.2406085	0.2190836	0.2339137	0.230699	0.2234692	0.208426	0.242932	0.2228605	0.2303731	0.204393	0.2052404	0.22395	0.2081975	0.2297181	0.2326205	0.3025379	0.300465	0.2939833	0.3095432	0.3168025	0.3111979	0.3081034	0.3200886	0.3144402	0.3054903	0.3177409	0.3258918	0.3143739	0.3286248	0.3192328	0.3225696	0.3149457	0.3061186	0.2997956	0.2873062	0.2792305	0.2667136	0.2539296	0.2709779	0.2808906	0.2762068	0.282825	0.2819242	0.2648431	0.2519107	0.2865576	0.2888545	0.2863615	0.2691751	0.3179327	0.2561195	0.3025261	0.2670618	0.3064776	0.3113697	0.3168342	0.2964635	0.2999324	0.3058847	0.3141027	0.3081062	0.2851171	0.235408	0.2686925	0.2787417	0.2823367	0.2787369	0.2800375	0.2740576	0.2532889	0.2612318	0.2481629	0.271136	0.2607467	0.2724645	0.2939425	0.3000195	0.3015255	0.3059636	0.3059758	0.2987922	0.2909382	0.308742	0.2941373	0.2955415	0.2651249	0.288174	0.3031632	0.2903936	0.2893733	0.2870439	0.2940107	0.2693272	0.2659195	0.2639987	0.3099801	0.2961884	0.3077733	0.2540935	0.2792846	0.279837	0.2889843	0.3178905	0.2494098	0.2536628	0.2796461	0.2942983	0.2757977	0.2652882	0.2652473	0.2889319	0.2905767	0.2856316	0.2845187	0.2690023	0.2562081	0.2714728	0.2814596	0.2821481	0.2727085	0.2985962	0.2999362	0.2673276	0.2859756	0.2678191	0.2890925	0.2821141	0.2850823	0.2960949	0.3029304	0.2831423	0.2824025	0.276	0.2781456	0.276252	0.2620519	0.2796868	0.269745	0.2746497	0.2726117	0.2647744	0.2644387	0.2764012	0.2684261	0.2745022	0.2625445	0.2546116	0.2731285	0.2953697	0.2747178	0.2550512	0.2706205	0.2631359	0.2270995	0.2032349	0.2162428	0.2520268	0.2245945	0.193593	0.2348599	0.231431	0.2183471	0.2158567	0.2193685	0.2297653	0.2195316	0.2318087	0.2286091	0.1839247	0.2049839	0.1935582	0.2092177	0.200656	0.2024905	0.2088304	0.2075616	0.2029557	0.194445	0.1882023	0.2697091	0.2993398	0.2636709	0.2992159	0.2832102	0.2379622	0.2781425	0.2519277	0.2989464	0.2456659	0.2965961	0.2681559	0.2978989
9	Cingulate_Cortex,_Area_32	0.2484352	0.2104344	0.2405966	0.2534781	0.2377101	0.2465196	0.2401621	0.2291784	0.2372558	0.2338003	0.2341825	0.2341777	0.2580779	0.2437584	0.2559502	0.2406883	0.2424296	0.2463305	0.2206221	0.2415477	0.2422625	0.2248383	0.1964431	0.2308585	0.2283095	0.2253279	0.1930249	0.2089695	0.2283141	0.2127411	0.2321509	0.2314933	0.3034616	0.2995346	0.3025548	0.3248705	0.3201028	0.3157014	0.3122508	0.3308777	0.3160695	0.3335541	0.3233082	0.3285967	0.3257428	0.3325591	0.3290096	0.3331546	0.3193295	0.3290307	0.2949906	0.2868892	0.2810339	0.2722614	0.264222	0.2746286	0.2718762	0.282451	0.2849103	0.2814144	0.2667299	0.253771	0.3043785	0.3032733	0.2894107	0.2772661	0.3130838	0.2707537	0.3062142	0.2663582	0.2994928	0.303848	0.3082904	0.2902318	0.2926669	0.3251159	0.3159772	0.3017174	0.27185	0.2266602	0.2873112	0.2810906	0.2680944	0.2720077	0.2811452	0.2731213	0.2507666	0.2615975	0.2531873	0.2758634	0.2495999	0.2687267	0.2998501	0.2970345	0.3037311	0.315504	0.3052157	0.3095512	0.2994313	0.3054543	0.2977313	0.305034	0.2691063	0.2981299	0.3057341	0.295928	0.2949542	0.3008942	0.3037826	0.2734583	0.274562	0.2782746	0.2602156	0.3036892	0.3045191	0.2705707	0.2668285	0.2937053	0.3017265	0.26536	0.2550776	0.2506129	0.2708859	0.296517	0.2905684	0.2702616	0.2761627	0.2858177	0.301495	0.2899156	0.2924199	0.2743689	0.2763446	0.2641971	0.2852711	0.2892191	0.2904992	0.3044053	0.2756466	0.2753182	0.294497	0.279893	0.291095	0.2912268	0.2909911	0.2978663	0.3076974	0.2938289	0.2837051	0.2785442	0.2879392	0.279055	0.2693991	0.2966759	0.2776973	0.2878694	0.2824667	0.2793954	0.2712156	0.288497	0.2705607	0.2902775	0.2674959	0.2660092	0.2977553	0.3069385	0.2778506	0.2669996	0.2838951	0.2595228	0.228439	0.2114007	0.2311435	0.2640117	0.2364456	0.2094012	0.2401735	0.2336186	0.2200382	0.2346797	0.222632	0.2308582	0.2217653	0.2348804	0.2190689	0.1946772	0.21	0.2002726	0.2168949	0.2134657	0.2067618	0.2205775	0.2144554	0.2140487	0.2201828	0.1966162	0.2742759	0.2882131	0.2722067	0.3034163	0.2879069	0.2495602	0.275948	0.2665891	0.3074423	0.2490935	0.2805955	0.2748522	0.3036903
